id,make,model,trim,type,year,price,condition,engineType,engineCapacity,horsepower,transmission,fuelEfficiency,driveType,seatingCapacity,colors,features,imageUrl,createdAt,updatedAt
25,BMW,iX,xDrive50,SUV,2023,83200,New,Electric,NULL,"516 HP","Single-speed automatic","86 MPGe (combined)","All-wheel drive (AWD)",5,"Alpine White; Black Sapphire Metallic","Electric vehicle; panoramic roof; advanced driver assistance systems",https://www.mad4wheels.com/img/free-car-images/desktop/20614/bmw-ix1-u11-edrive20-2024-thumb.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
26,BMW,M4,Competition,Coupe,2023,74700,New,Gas,"3.0 liters","503 HP","8-speed M Steptronic automatic","16 city / 23 highway","Rear-wheel drive (RWD) or optional AWD",4,"Alpine White; Sao Paulo Yellow","M sport features; high-performance brakes; sport-tuned suspension",https://www.mad4wheels.com/img/free-car-images/desktop/20895/bmw-m4-g82-coupe-2025-751707.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
27,BMW,Z4,sDrive30i,Roadster,2023,49900,New,Gas,"2.0 liters","255 HP","8-speed sport automatic","25 city / 32 highway","Rear-wheel drive (RWD)",2,"Alpine White; San Francisco Red Metallic","Convertible soft top; sport seats; advanced infotainment",https://www.mad4wheels.com/img/free-car-images/desktop/20897/bmw-z4-g29-m40i-pure-impulse-edition-2025-thumb.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
28,Hyundai,Elantra,SEL,Sedan,2023,20900,New,Gas,"2.0 liters","147 HP","Intelligent Variable Transmission (IVT)","31 city / 41 highway","Front-wheel drive (FWD)",5,"Phantom Black; Fluid Metal; Portofino Gray","Apple CarPlay; Android Auto; lane-keeping assist",https://www.mad4wheels.com/img/free-car-images/desktop/20599/hyundai-elantra-usa-version-2024-thumb.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
29,Hyundai,Sonata,Limited,Sedan,2023,34250,New,Gas,"1.6 liters","180 HP","8-speed automatic","27 city / 37 highway","Front-wheel drive (FWD)",5,"Hampton Gray; Quartz White","Leather seats; panoramic sunroof; advanced safety systems",https://www.mad4wheels.com/img/free-car-images/desktop/20252/hyundai-sonata-2024-thumb.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
30,Hyundai,Tucson,SEL,SUV,2023,26500,New,Gas,"2.5 liters","187 HP","8-speed automatic","26 city / 33 highway","Front-wheel drive (FWD) or optional AWD",5,"Quartz White; Phantom Black","Lane-keeping assist; Apple CarPlay; Android Auto",https://www.mad4wheels.com/img/free-car-images/desktop/21020/hyundai-tucson-usa-version-2025-thumb.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
31,Hyundai,"Santa Fe",SE,SUV,2023,27200,New,Gas,"2.5 liters","191 HP","8-speed automatic","25 city / 28 highway","Front-wheel drive (FWD) or optional AWD",5,"Stormy Sea; Shimmering Silver Pearl","Safety features; touch-screen display; rearview camera",https://www.mad4wheels.com/img/free-car-images/desktop/20507/hyundai-santa-fe-2024-731045.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
32,Hyundai,"Kona Electric",SEL,SUV,2023,37390,New,Electric,NULL,"201 HP","Single-speed automatic","132 city / 108 highway MPGe","Front-wheel drive (FWD)",5,"Galactic Gray; Chalk White","Electric vehicle; touchscreen infotainment; regenerative braking",https://www.mad4wheels.com/img/free-car-images/desktop/20285/hyundai-kona-electric-usa-version-2024-thumb.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
33,Hyundai,"Ioniq 5",SE,Crossover,2023,43650,New,Electric,NULL,"320 HP","Single-speed automatic","132 city / 98 highway MPGe (RWD)","Rear-wheel drive (RWD) or all-wheel drive (AWD)",5,"Atlas White; Cyber Gray","Fast charging; digital cockpit; advanced safety features",https://www.mad4wheels.com/img/free-car-images/desktop/20789/hyundai-ioniq-5-n-usa-version-2025-thumb.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
34,Hyundai,Palisade,SEL,SUV,2023,35700,New,Gas,"3.8 liters","291 HP","8-speed automatic","19 city / 26 highway","Front-wheel drive (FWD) or optional AWD",8,"Steel Graphite; Hyper White","Blind-spot monitoring; lane-keeping assist; spacious interior",https://www.mad4wheels.com/img/free-car-images/desktop/19552/hyundai-palisade-2023-670904.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
35,Hyundai,"Veloster N",N,Hatchback,2022,32500,New,Gas,"2.0 liters","275 HP","6-speed manual or 8-speed dual-clutch automatic","22 city / 28 highway","Front-wheel drive (FWD)",4,"Performance Blue; Racing Red","Performance exhaust; sport suspension; high-performance brakes",https://www.mad4wheels.com/img/free-car-images/desktop/16487/hyundai-veloster-n-2019-515527.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
36,Hyundai,"Santa Cruz",SEL,"Pickup Truck",2023,27190,New,Gas,"2.5 liters","191 HP","8-speed automatic","21 city / 26 highway","Front-wheel drive (FWD)",5,"Hampton Gray; Blue Stone","Open bed; touchscreen infotainment; advanced safety features",https://www.mad4wheels.com/img/free-car-images/desktop/21018/hyundai-santa-cruz-2025-758163.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
37,Porsche,Macan,S,"Compact SUV",2024,60000,New,Gas,2.0L,"265 HP",Automatic,"19 city / 25 highway",All-Wheel,5,"White; Black; Silver; Red","Navigation System; Adaptive Cruise Control; Lane Keep Assist; Leather Upholstery; Bluetooth; Apple CarPlay; Android Auto;",https://www.mad4wheels.com/img/free-car-images/mobile/20883/porsche-macan-4-2025-762034.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
38,Porsche,Cayenne,Turbo,SUV,2024,85000,New,Gas,4.0L,"541 HP",Automatic,"17 city / 22 highway",All-Wheel,5,"White; Black; Silver; Blue","Adaptive Cruise Control; Lane Keep Assist; Blind Spot Monitoring; Navigation System; Leather Upholstery; Heated and Ventilated Seats; Apple CarPlay; Android Auto;",https://www.mad4wheels.com/img/free-car-images/mobile/20728/porsche-cayenne-turbo-e-hybrid-coupe-2024-742756.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
39,Porsche,911,Carrera,Coupe,2024,106000,New,Gas,3.0L,"379 HP",Automatic,"20 city / 28 highway",RWD,4,"White; Black; Silver; Red","Adaptive Cruise Control; Lane Departure Warning; Navigation System; Leather Upholstery; Sports Seats; Apple CarPlay; Android Auto;",https://www.mad4wheels.com/img/free-car-images/mobile/21211/porsche-911-992-carrera-4-gts-2025-769770.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
40,Porsche,Taycan,4S,Sedan,2024,105000,New,Electric,None,"420 HP",Automatic,"80 MPGe",All-Wheel,4,"White; Black; Silver; Blue","Adaptive Cruise Control; Lane Keep Assist; Navigation System; Leather Upholstery; Heated Seats; Apple CarPlay; Android Auto;",https://www.mad4wheels.com/img/free-car-images/mobile/20914/porsche-taycan-4s-sport-turismo-2025-752940.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
41,Porsche,"718 Cayman",GTS,Coupe,2024,85000,New,Gas,2.5L,"394 HP",Manual,"20 city / 26 highway",RWD,2,"White; Black; Silver; Blue","Adaptive Cruise Control; Lane Departure Warning; Navigation System; Leather Upholstery; Sports Seats; Apple CarPlay; Android Auto;",https://www.mad4wheels.com/img/free-car-images/mobile/17812/porsche-718-boxster-gts-40-2020-576137.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
42,Porsche,Panamera,Turbo,Sedan,2024,90000,New,Gas,4.0L,"550 HP",Automatic,"18 city / 25 highway",All-Wheel,4,"White; Black; Silver; Green","Adaptive Cruise Control; Lane Keep Assist; Navigation System; Leather Upholstery; Heated and Ventilated Seats; Apple CarPlay; Android Auto;",https://www.mad4wheels.com/img/free-car-images/mobile/20804/porsche-panamera-4-2024-755414.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
43,Porsche,911,Turbo,Coupe,2024,180000,New,Gas,3.8L,"572 HP",Automatic,"16 city / 23 highway",RWD,4,"White; Black; Silver; Red","Adaptive Cruise Control; Lane Departure Warning; Navigation System; Leather Upholstery; Sports Seats; Apple CarPlay; Android Auto;",https://www.mad4wheels.com/img/free-car-images/mobile/21254/porsche-911-992-turbo-50-years-2024-771642.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
44,Porsche,Macan,GTS,"Compact SUV",2024,75000,New,Gas,2.9L,"375 HP",Automatic,"18 city / 23 highway",All-Wheel,5,"White; Black; Silver; Red","Navigation System; Adaptive Cruise Control; Lane Keep Assist; Leather Upholstery; Bluetooth; Apple CarPlay; Android Auto;",https://www.mad4wheels.com/img/free-car-images/mobile/19018/porsche-macan-gts-2022-640985.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
45,Porsche,Taycan,Turbo,Sedan,2024,140000,New,Electric,None,"616 HP",Automatic,"80 MPGe",All-Wheel,4,"White; Black; Silver; Blue","Adaptive Cruise Control; Lane Keep Assist; Navigation System; Leather Upholstery; Heated Seats; Apple CarPlay; Android Auto;",https://www.mad4wheels.com/img/free-car-images/mobile/20973/porsche-taycan-turbo-gt-2025-756312.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
46,Porsche,"718 Boxster","GTS 4.0",Convertible,2024,90000,New,Gas,4.0L,"394 HP",Manual,"20 city / 26 highway",RWD,2,"White; Black; Silver; Blue","Adaptive Cruise Control; Lane Departure Warning; Navigation System; Leather Upholstery; Sports Seats; Apple CarPlay; Android Auto;",https://www.mad4wheels.com/img/free-car-images/mobile/17813/porsche-718-cayman-gts-40-2020-576212.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
47,Acura,MDX,Advance,"Full-Size SUV",2024,60000,New,Gas,3.5L,"290 HP",Automatic,"20 city / 27 highway",All-Wheel,7,"White; Black; Silver; Blue","Navigation System; Adaptive Cruise Control; Lane Keep Assist; Leather Upholstery; Heated and Ventilated Seats; Apple CarPlay; Android Auto;",https://www.mad4wheels.com/img/free-car-images/mobile/21042/acura-mdx-2025-759475.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
48,Acura,RDX,A-Spec,"Compact SUV",2024,45000,New,Gas,2.0L,"272 HP",Automatic,"22 city / 28 highway",All-Wheel,5,"White; Black; Silver; Red","Navigation System; Adaptive Cruise Control; Lane Departure Warning; Leather Upholstery; Heated Seats; Apple CarPlay; Android Auto;",https://www.mad4wheels.com/img/free-car-images/mobile/19122/acura-rdx-2022-643868.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
49,Acura,TLX,"Type S",Sedan,2024,55000,New,Gas,3.0L,"355 HP",Automatic,"20 city / 30 highway",All-Wheel,5,"White; Black; Silver; Red","Navigation System; Adaptive Cruise Control; Lane Keep Assist; Leather Upholstery; Heated and Ventilated Seats; Apple CarPlay; Android Auto;",https://www.mad4wheels.com/img/free-car-images/mobile/20748/acura-tlx-type-s-2024-743731.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
50,Acura,ILX,Premium,Sedan,2024,30000,New,Gas,2.4L,"201 HP",Automatic,"24 city / 34 highway",Front-Wheel,5,"White; Black; Silver; Blue","Navigation System; Adaptive Cruise Control; Lane Departure Warning; Leather Upholstery; Apple CarPlay; Android Auto;",https://www.mad4wheels.com/img/free-car-images/mobile/16711/acura-ilx-a-spec-2019-516988.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
51,Acura,NSX,"Type S",Supercar,2024,171000,New,Gas/Electric,3.5L,"537 HP",Automatic,"21 city / 22 highway",All-Wheel,2,"White; Black; Silver; Red","Navigation System; Adaptive Cruise Control; Lane Departure Warning; Leather Upholstery; Sports Seats; Apple CarPlay; Android Auto;",https://www.mad4wheels.com/img/free-car-images/mobile/19039/acura-nsx-type-s-2022-639732.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
52,Acura,MDX,"Type S","Full-Size SUV",2024,70000,New,Gas,3.0L,"355 HP",Automatic,"19 city / 25 highway",All-Wheel,7,"White; Black; Silver; Red","Navigation System; Adaptive Cruise Control; Lane Keep Assist; Leather Upholstery; Heated and Ventilated Seats; Apple CarPlay; Android Auto;",https://www.mad4wheels.com/img/free-car-images/mobile/19480/acura-mdx-type-s-2022-666179.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
53,Acura,Integra,A-Spec,Sedan,2024,35000,New,Gas,1.5L,"200 HP",Manual,"26 city / 36 highway",Front-Wheel,5,"White; Black; Silver; Red","Navigation System; Adaptive Cruise Control; Lane Keep Assist; Leather Upholstery; Heated Seats; Apple CarPlay; Android Auto;",https://www.mad4wheels.com/img/free-car-images/mobile/19634/acura-integra-a-spec-2023-677239.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
54,Tesla,"Model S","Long Range",Sedan,2023,88490,New,"Electric motor",NULL,"670 HP","Single-speed automatic","124 city / 115 highway MPGe","All-wheel drive (AWD)",5,"Pearl White Multi-Coat; Solid Black; Midnight Silver Metallic; Deep Blue Metallic; Red Multi-Coat","Autopilot; 17" Touchscreen; Premium Sound; Full Self-Driving Capability (optional)",https://www.mad4wheels.com/img/free-car-images/desktop/16145/tesla-model-s-2017-478097.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
55,Tesla,"Model S",Plaid,Sedan,2023,108490,New,"Electric motor",NULL,"1020 HP","Single-speed automatic","119 city / 112 highway MPGe","All-wheel drive (AWD)",5,"Pearl White Multi-Coat; Solid Black; Midnight Silver Metallic; Deep Blue Metallic; Red Multi-Coat","Autopilot; 17" Touchscreen; Premium Sound; Full Self-Driving Capability (optional); Ludicrous acceleration",https://mad4wheels.com/img/free-car-images/desktop/15966/tesla-model-s-p100d-by-prior-design-2017-thumb.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
56,Tesla,"Model 3","Rear-Wheel Drive",Sedan,2023,40240,New,"Electric motor",NULL,"283 HP","Single-speed automatic","138 city / 126 highway MPGe","Rear-wheel drive (RWD)",5,"Pearl White Multi-Coat; Solid Black; Midnight Silver Metallic; Deep Blue Metallic; Red Multi-Coat","Autopilot; 15" Touchscreen; Premium Connectivity (optional)",https://www.mad4wheels.com/img/free-car-images/desktop/20650/tesla-model-3-2024-735780.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
57,Tesla,"Model 3",Performance,Sedan,2023,53240,New,"Electric motor",NULL,"450 HP","Single-speed automatic","118 city / 107 highway MPGe","All-wheel drive (AWD)",5,"Pearl White Multi-Coat; Solid Black; Midnight Silver Metallic; Deep Blue Metallic; Red Multi-Coat","Autopilot; 15" Touchscreen; Premium Interior; Performance Upgrades",https://www.mad4wheels.com/img/free-car-images/desktop/21077/tesla-model-3-performance-2025-thumb.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
58,Tesla,"Model X","Long Range",SUV,2023,98490,New,"Electric motor",NULL,"670 HP","Single-speed automatic","107 city / 97 highway MPGe","All-wheel drive (AWD)",7,"Pearl White Multi-Coat; Solid Black; Midnight Silver Metallic; Deep Blue Metallic; Red Multi-Coat","Autopilot; Falcon Wing Doors; 17" Touchscreen; Premium Sound",https://www.mad4wheels.com/img/free-car-images/desktop/16174/tesla-model-x-2017-469287.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
59,Tesla,"Model X",Plaid,SUV,2023,108490,New,"Electric motor",NULL,"1020 HP","Single-speed automatic","102 city / 90 highway MPGe","All-wheel drive (AWD)",6,"Pearl White Multi-Coat; Solid Black; Midnight Silver Metallic; Deep Blue Metallic; Red Multi-Coat","Autopilot; Falcon Wing Doors; 17" Touchscreen; Premium Sound; Ludicrous acceleration",https://www.mad4wheels.com/img/free-car-images/desktop/16029/novitec-tx-e-based-on-tesla-model-x--2017-thumb.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
60,Tesla,"Model Y","Long Range",SUV,2023,50490,New,"Electric motor",NULL,"384 HP","Single-speed automatic","127 city / 114 highway MPGe","All-wheel drive (AWD)",5,"Pearl White Multi-Coat; Solid Black; Midnight Silver Metallic; Deep Blue Metallic; Red Multi-Coat","Autopilot; 15" Touchscreen; Panoramic Glass Roof",https://www.mad4wheels.com/img/free-car-images/desktop/17196/tesla-model-y-2019-540124.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
